Hour,Latitude,Longitude,PM10
0,28.6872,77.2103,336.17
1,28.6872,77.2103,332.86
2,28.6872,77.2103,275.93
3,28.6872,77.2103,265.19
4,28.6872,77.2103,284.72
5,28.6872,77.2103,241.02
6,28.6872,77.2103,248.21
7,28.6872,77.2103,286.52
8,28.6872,77.2103,372.74
9,28.6872,77.2103,395.88
10,28.6872,77.2103,360.78
11,28.6872,77.2103,266.53
12,28.6872,77.2103,146.17
13,28.6872,77.2103,139.79
14,28.6872,77.2103,167.46
15,28.6872,77.2103,137.53
16,28.6872,77.2103,119.15
17,28.6872,77.2103,134.94
18,28.6872,77.2103,150.05
19,28.6872,77.2103,206.38
20,28.6872,77.2103,306.72
21,28.6872,77.2103,321.71
22,28.6872,77.2103,360.98
23,28.6872,77.2103,401.7
0,28.6872,77.2103,423.89
1,28.6872,77.2103,452.25
2,28.6872,77.2103,425.66
3,28.6872,77.2103,430.93
4,28.6872,77.2103,376.41
5,28.6872,77.2103,304.13
6,28.6872,77.2103,263.25
7,28.6872,77.2103,256.23
8,28.6872,77.2103,298.92
9,28.6872,77.2103,382.01
10,28.6872,77.2103,359.51
11,28.6872,77.2103,312.24
12,28.6872,77.2103,231.71
13,28.6872,77.2103,193.74
14,28.6872,77.2103,172
15,28.6872,77.2103,135.42
16,28.6872,77.2103,127.17
17,28.6872,77.2103,143.81
18,28.6872,77.2103,189.79
19,28.6872,77.2103,241.4
20,28.6872,77.2103,284.98
21,28.6872,77.2103,384.11
22,28.6872,77.2103,381.48
23,28.6872,77.2103,380.9
0,28.6872,77.2103,399.17
1,28.6872,77.2103,347.34
2,28.6872,77.2103,310.63
3,28.6872,77.2103,284.6
4,28.6872,77.2103,363.82
5,28.6872,77.2103,503.81
6,28.6872,77.2103,464.15
7,28.6872,77.2103,352.13
8,28.6872,77.2103,377.16
9,28.6872,77.2103,335.3
10,28.6872,77.2103,267.01
11,28.6872,77.2103,279.82
12,28.6872,77.2103,267.68
13,28.6872,77.2103,203.51
14,28.6872,77.2103,181.95
15,28.6872,77.2103,169.43
16,28.6872,77.2103,171.95
17,28.6872,77.2103,216.74
18,28.6872,77.2103,217.22
19,28.6872,77.2103,216.03
20,28.6872,77.2103,238.04
21,28.6872,77.2103,202.34
22,28.6872,77.2103,150.87
23,28.6872,77.2103,156.02
0,28.6872,77.2103,146.21
1,28.6872,77.2103,178.53
2,28.6872,77.2103,176.74
3,28.6872,77.2103,165.49
4,28.6872,77.2103,168.85
5,28.6872,77.2103,126.81
6,28.6872,77.2103,90.26
7,28.6872,77.2103,130.96
8,28.6872,77.2103,184.08
9,28.6872,77.2103,204.21
10,28.6872,77.2103,210.15
11,28.6872,77.2103,187.36
12,28.6872,77.2103,175.39
13,28.6872,77.2103,174.86
14,28.6872,77.2103,189.5
